INFO 2024-07-27 23:35:10,616 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-27 23:35:10,616 autoreload Waiting for apps ready_event.
DEBUG 2024-07-27 23:35:10,651 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-27 23:35:10,660 autoreload Watching dir /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-07-27 23:35:10,660 autoreload Watching dir /Users/vinay.franklin/Documents/tasks/task_manager/locale with glob **/*.mo.
DEBUG 2024-07-27 23:35:10,660 autoreload Watching dir /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-07-27 23:35:10,660 autoreload Watching dir /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2024-07-27 23:35:10,660 autoreload Watching dir /Users/vinay.franklin/Documents/tasks/task_manager/tasks/locale with glob **/*.mo.
DEBUG 2024-07-27 23:35:10,697 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/wsgiref/util.py first seen with mtime 1707004910.0
DEBUG 2024-07-27 23:35:10,697 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/gettext.py first seen with mtime 1707004887.0
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/fields/files.py first seen with mtime 1721892401.2846756
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1721892400.641064
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/http/cookie.py first seen with mtime 1721892401.3148904
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/urls/converters.py first seen with mtime 1721892401.3302174
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/core/mail/__init__.py first seen with mtime 1721892401.2426443
DEBUG 2024-07-27 23:35:10,697 autoreload File /Users/vinay.franklin/Documents/tasks/tasks/lib/python3.9/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1721892401.29009
DEBUG 2024-07-27 23:35:10,697 autoreload File /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/_compression.py first seen with mtime 1707004886.0
